feature,importance
cat__timestamp_1987-10-05 11:06:04+00:00,1.051151021573005e-06
cat__timestamp_sec_str_1987-10-05 11:06:55 UTC,9.819679218294378e-07
cat__timestamp_sec_str_1987-10-05 11:06:16 UTC,8.189043654466316e-07
cat__timestamp_1987-10-05 11:03:59+00:00,7.857697951187506e-07
cat__timestamp_1987-10-05 11:01:45+00:00,5.786769959935144e-07
cat__timestamp_1987-10-05 11:08:32+00:00,5.70332346205478e-07
cat__timestamp_sec_str_1987-10-05 11:06:04 UTC,5.611490876854684e-07
cat__timestamp_sec_str_1987-10-05 11:01:47 UTC,5.539370448830399e-07
cat__timestamp_1987-10-05 11:04:30+00:00,5.26040161508658e-07
cat__timestamp_1987-10-05 11:07:20+00:00,5.20310044908989e-07
cat__timestamp_1987-10-05 11:01:49+00:00,5.200438624602597e-07
cat__timestamp_1987-10-05 11:06:11+00:00,4.062006884950248e-07
cat__timestamp_sec_str_1987-10-05 11:01:46 UTC,3.638525620638912e-07
cat__timestamp_sec_str_1987-10-05 11:08:42 UTC,2.881157957545548e-07
cat__timestamp_1987-10-05 11:06:16+00:00,2.7831667072269816e-07
cat__timestamp_sec_str_1987-10-05 11:05:34 UTC,1.668463979449815e-07
cat__timestamp_1987-10-05 11:01:46+00:00,8.750733468122476e-08
cat__group_id_g_4,4.471008508694861e-08
cat__timestamp_1987-10-05 11:05:09+00:00,2.135829223186608e-17
cat__timestamp_1987-10-05 11:05:22+00:00,6.816612653231184e-18
cat__timestamp_1987-10-05 11:05:20+00:00,3.763021272162236e-18
cat__timestamp_1987-10-05 11:01:31+00:00,1.648517429501697e-18
cat__timestamp_sec_str_1987-10-05 11:01:34 UTC,1.4363117784358496e-18
cat__timestamp_sec_str_1987-10-05 11:08:15 UTC,1.083430240324821e-18
cat__timestamp_sec_str_1987-10-05 11:06:32 UTC,1.0560185923244926e-18
cat__timestamp_1987-10-05 11:01:35+00:00,1.0546417485203072e-18
cat__timestamp_1987-10-05 11:05:26+00:00,8.289992431835181e-19
cat__timestamp_1987-10-05 11:03:43+00:00,8.053151140951916e-19
cat__timestamp_sec_str_1987-10-05 11:05:07 UTC,7.691307831006837e-19
cat__timestamp_sec_str_1987-10-05 11:04:07 UTC,6.857252655706344e-19
cat__timestamp_sec_str_1987-10-05 11:01:55 UTC,6.781360601955512e-19
cat__timestamp_sec_str_1987-10-05 11:07:38 UTC,6.757238666431223e-19
cat__timestamp_1987-10-05 11:02:22+00:00,6.456290380593498e-19
cat__timestamp_sec_str_1987-10-05 11:05:17 UTC,6.389396108405503e-19
cat__timestamp_1987-10-05 11:05:13+00:00,6.363481953713214e-19
cat__timestamp_1987-10-05 11:03:55+00:00,6.244195595793306e-19
cat__timestamp_1987-10-05 11:08:40+00:00,6.174795472330661e-19
cat__timestamp_sec_str_1987-10-05 11:04:53 UTC,5.684963841023788e-19
cat__timestamp_sec_str_1987-10-05 11:08:48 UTC,5.54707041848667e-19
cat__timestamp_sec_str_1987-10-05 11:08:43 UTC,5.443665635481316e-19
cat__timestamp_1987-10-05 11:07:43+00:00,5.406192874084501e-19
cat__timestamp_sec_str_1987-10-05 11:07:08 UTC,5.362219832079369e-19
cat__timestamp_sec_str_1987-10-05 11:07:02 UTC,5.258975510976548e-19
cat__timestamp_1987-10-05 11:06:20+00:00,5.225672279905044e-19
cat__timestamp_sec_str_1987-10-05 11:04:46 UTC,5.217156956165162e-19
cat__timestamp_1987-10-05 11:07:44+00:00,5.19220915575136e-19
cat__timestamp_sec_str_1987-10-05 11:03:49 UTC,5.166479278681157e-19
cat__timestamp_sec_str_1987-10-05 11:08:08 UTC,5.152275543591963e-19
cat__timestamp_sec_str_1987-10-05 11:07:40 UTC,5.137586567919035e-19
cat__timestamp_1987-10-05 11:02:18+00:00,5.126911953352436e-19
cat__timestamp_sec_str_1987-10-05 11:02:15 UTC,5.098562742848102e-19
cat__timestamp_1987-10-05 11:05:40+00:00,5.084661297775989e-19
cat__timestamp_sec_str_1987-10-05 11:05:23 UTC,5.062026984371082e-19
cat__timestamp_sec_str_1987-10-05 11:03:47 UTC,4.939961278259984e-19
cat__timestamp_sec_str_1987-10-05 11:03:34 UTC,4.891502137519979e-19
cat__timestamp_1987-10-05 11:04:42+00:00,4.883974921161809e-19
cat__timestamp_sec_str_1987-10-05 11:03:17 UTC,4.870113603120656e-19
cat__timestamp_sec_str_1987-10-05 11:03:21 UTC,4.636162776727833e-19
cat__timestamp_1987-10-05 11:05:51+00:00,4.3131723789663037e-19
cat__timestamp_sec_str_1987-10-05 11:08:31 UTC,4.215331656637612e-19
cat__timestamp_1987-10-05 11:07:08+00:00,4.159557629490294e-19
cat__timestamp_1987-10-05 11:04:02+00:00,4.0951707170081303e-19
cat__timestamp_sec_str_1987-10-05 11:06:42 UTC,4.092435525758046e-19
cat__timestamp_1987-10-05 11:07:01+00:00,4.07271382794786e-19
cat__timestamp_1987-10-05 11:06:42+00:00,4.0536192600147357e-19
cat__timestamp_1987-10-05 11:04:41+00:00,4.025385525173796e-19
cat__timestamp_sec_str_1987-10-05 11:04:59 UTC,4.0081612931504974e-19
cat__timestamp_sec_str_1987-10-05 11:02:09 UTC,4.0049288715145586e-19
cat__timestamp_1987-10-05 11:01:52+00:00,3.98244456462412e-19
cat__timestamp_1987-10-05 11:03:10+00:00,3.9566759191711112e-19
cat__timestamp_1987-10-05 11:04:16+00:00,3.9408430735802887e-19
cat__timestamp_sec_str_1987-10-05 11:05:42 UTC,3.937510911794057e-19
cat__timestamp_sec_str_1987-10-05 11:05:36 UTC,3.936050242252641e-19
cat__timestamp_sec_str_1987-10-05 11:04:12 UTC,3.9326489001899775e-19
cat__timestamp_sec_str_1987-10-05 11:04:31 UTC,3.8821544119827623e-19
cat__timestamp_sec_str_1987-10-05 11:06:41 UTC,3.70997717318906e-19
cat__timestamp_sec_str_1987-10-05 11:08:26 UTC,3.6403696401459116e-19
cat__timestamp_sec_str_1987-10-05 11:08:18 UTC,3.6359675313172327e-19
cat__timestamp_1987-10-05 11:08:42+00:00,3.302260270720545e-19
cat__timestamp_sec_str_1987-10-05 11:03:53 UTC,3.3012859345001425e-19
cat__timestamp_1987-10-05 11:04:37+00:00,3.290367738596366e-19
cat__timestamp_sec_str_1987-10-05 11:05:56 UTC,3.2566131270204877e-19
cat__timestamp_1987-10-05 11:05:05+00:00,3.221722796032412e-19
cat__timestamp_1987-10-05 11:03:46+00:00,3.1946275518220216e-19
cat__timestamp_1987-10-05 11:04:45+00:00,3.184623844759619e-19
cat__timestamp_sec_str_1987-10-05 11:08:01 UTC,3.1728004417903957e-19
cat__timestamp_sec_str_1987-10-05 11:08:02 UTC,3.1591671630781973e-19
cat__timestamp_1987-10-05 11:04:26+00:00,3.149394699323906e-19
cat__timestamp_1987-10-05 11:07:59+00:00,3.131528697596283e-19
