feature,importance
cat__timestamp_1987-10-05 11:07:44+00:00,0.0
cat__timestamp_1987-10-05 11:07:46+00:00,0.0
cat__timestamp_1987-10-05 11:07:47+00:00,0.0
cat__timestamp_1987-10-05 11:07:48+00:00,0.0
cat__timestamp_1987-10-05 11:07:49+00:00,0.0
cat__timestamp_1987-10-05 11:07:50+00:00,0.0
cat__timestamp_1987-10-05 11:07:51+00:00,0.0
cat__timestamp_1987-10-05 11:07:52+00:00,0.0
cat__timestamp_1987-10-05 11:07:53+00:00,0.0
cat__timestamp_1987-10-05 11:07:54+00:00,0.0
cat__timestamp_1987-10-05 11:07:56+00:00,0.0
cat__timestamp_1987-10-05 11:07:57+00:00,0.0
cat__timestamp_1987-10-05 11:07:58+00:00,0.0
cat__timestamp_1987-10-05 11:07:59+00:00,0.0
cat__timestamp_1987-10-05 11:07:43+00:00,0.0
cat__timestamp_1987-10-05 11:09:03+00:00,0.0
cat__timestamp_1987-10-05 11:09:04+00:00,0.0
cat__timestamp_1987-10-05 11:09:05+00:00,0.0
cat__timestamp_1987-10-05 11:09:06+00:00,0.0
cat__timestamp_1987-10-05 11:09:07+00:00,0.0
cat__group_id_s_7,0.0
cat__group_id_e2_1,0.0
cat__group_id_e2_2,0.0
cat__group_id_e2_3,0.0
cat__group_id_e2_4,0.0
cat__group_id_e2_5,0.0
cat__group_id_e2_7,0.0
cat__group_id_e_2,0.0
cat__timestamp_1987-10-05 11:08:32+00:00,0.0
cat__group_id_e_4,0.0
cat__timestamp_1987-10-05 11:08:36+00:00,0.0
cat__group_id_e2_0,0.0
cat__group_id_g_0,0.0
cat__group_id_g_2,0.0
cat__group_id_g_3,0.0
cat__group_id_g_4,0.0
cat__group_id_g_5,0.0
cat__group_id_g_6,0.0
cat__group_id_g_7,0.0
cat__group_id_s_1,0.0
cat__group_id_s_2,0.0
cat__group_id_s_3,0.0
cat__timestamp_sec_str_1987-10-05 11:01:37 UTC,0.0
cat__group_id_e_3,0.0
cat__timestamp_1987-10-05 11:08:33+00:00,0.0
cat__timestamp_1987-10-05 11:08:34+00:00,0.0
cat__timestamp_1987-10-05 11:08:35+00:00,0.0
cat__timestamp_1987-10-05 11:09:00+00:00,0.0
cat__timestamp_1987-10-05 11:08:37+00:00,0.0
cat__timestamp_1987-10-05 11:08:38+00:00,0.0
cat__timestamp_1987-10-05 11:08:39+00:00,0.0
cat__timestamp_1987-10-05 11:08:41+00:00,0.0
cat__timestamp_1987-10-05 11:08:42+00:00,0.0
cat__timestamp_1987-10-05 11:08:43+00:00,0.0
cat__timestamp_1987-10-05 11:08:44+00:00,0.0
cat__timestamp_1987-10-05 11:08:45+00:00,0.0
cat__timestamp_1987-10-05 11:08:46+00:00,0.0
cat__timestamp_1987-10-05 11:09:02+00:00,0.0
cat__timestamp_1987-10-05 11:08:48+00:00,0.0
cat__timestamp_1987-10-05 11:08:49+00:00,0.0
cat__timestamp_1987-10-05 11:08:50+00:00,0.0
cat__timestamp_1987-10-05 11:08:51+00:00,0.0
cat__timestamp_1987-10-05 11:08:52+00:00,0.0
cat__timestamp_1987-10-05 11:08:53+00:00,0.0
cat__timestamp_1987-10-05 11:08:54+00:00,0.0
cat__timestamp_1987-10-05 11:08:55+00:00,0.0
cat__timestamp_1987-10-05 11:08:56+00:00,0.0
cat__timestamp_1987-10-05 11:08:57+00:00,0.0
cat__timestamp_1987-10-05 11:08:58+00:00,0.0
cat__timestamp_1987-10-05 11:08:59+00:00,0.0
num__thr_util,0.0
cat__timestamp_1987-10-05 11:09:01+00:00,0.0
cat__timestamp_1987-10-05 11:08:47+00:00,0.0
cat__timestamp_1987-10-05 11:05:54+00:00,0.0
cat__timestamp_1987-10-05 11:05:55+00:00,0.0
cat__timestamp_1987-10-05 11:05:56+00:00,0.0
cat__timestamp_1987-10-05 11:05:57+00:00,0.0
cat__timestamp_1987-10-05 11:05:58+00:00,0.0
cat__timestamp_1987-10-05 11:05:59+00:00,0.0
cat__timestamp_1987-10-05 11:06:01+00:00,0.0
cat__timestamp_1987-10-05 11:06:02+00:00,0.0
cat__timestamp_1987-10-05 11:06:03+00:00,0.0
cat__timestamp_1987-10-05 11:06:04+00:00,0.0
cat__timestamp_1987-10-05 11:06:05+00:00,0.0
cat__timestamp_1987-10-05 11:06:07+00:00,0.0
cat__timestamp_1987-10-05 11:06:08+00:00,0.0
cat__timestamp_1987-10-05 11:07:29+00:00,0.0
cat__timestamp_1987-10-05 11:06:10+00:00,0.0
cat__timestamp_1987-10-05 11:06:12+00:00,0.0
cat__timestamp_1987-10-05 11:06:13+00:00,0.0
cat__timestamp_1987-10-05 11:06:14+00:00,0.0
cat__timestamp_1987-10-05 11:06:17+00:00,0.0
cat__timestamp_1987-10-05 11:06:19+00:00,0.0
cat__timestamp_1987-10-05 11:06:20+00:00,0.0
cat__timestamp_1987-10-05 11:06:21+00:00,0.0
cat__timestamp_1987-10-05 11:06:22+00:00,0.0
cat__timestamp_1987-10-05 11:06:23+00:00,0.0
cat__timestamp_1987-10-05 11:06:24+00:00,0.0
cat__timestamp_1987-10-05 11:06:25+00:00,0.0
cat__timestamp_1987-10-05 11:06:26+00:00,0.0
cat__timestamp_1987-10-05 11:06:27+00:00,0.0
cat__timestamp_1987-10-05 11:06:09+00:00,0.0
cat__timestamp_1987-10-05 11:05:22+00:00,0.0
cat__timestamp_1987-10-05 11:05:23+00:00,0.0
cat__timestamp_1987-10-05 11:05:24+00:00,0.0
cat__timestamp_1987-10-05 11:05:25+00:00,0.0
cat__timestamp_1987-10-05 11:05:26+00:00,0.0
